iter	Passed	Remaining
400	22205	33169
401	22244	33090
402	22284	33011
403	22323	32932
404	22362	32853
405	22403	32777
406	22441	32697
407	22481	32620
408	22521	32542
409	22560	32464
410	22599	32387
411	22640	32311
412	22680	32235
413	22718	32157
414	22756	32078
415	22795	32001
416	22845	31939
417	22881	31858
418	22919	31781
419	22958	31704
420	22995	31625
421	23036	31552
422	23075	31476
423	23117	31404
424	23156	31329
425	23197	31256
426	23238	31183
427	23278	31110
428	23319	31038
429	23360	30966
430	23400	30893
431	23443	30823
432	23484	30752
433	23524	30679
434	23570	30615
435	23614	30546
436	23659	30481
437	23702	30413
438	23745	30344
439	23784	30271
440	23826	30202
441	23866	30130
442	23908	30060
443	23948	29989
444	23989	29919
445	24032	29851
446	24074	29783
447	24122	29722
448	24164	29654
449	24205	29584
450	24247	29516
451	24295	29455
452	24345	29397
453	24393	29336
454	24432	29265
455	24472	29195
456	24513	29126
457	24553	29056
458	24597	28991
459	24638	28923
460	24685	28862
461	24737	28807
462	24789	28752
463	24836	28689
464	24881	28627
465	24925	28562
466	24984	28515
467	25037	28461
468	25095	28413
469	25143	28353
470	25188	28290
471	25237	28231
472	25293	28181
473	25354	28136
474	25402	28075
475	25449	28016
476	25494	27953
477	25538	27888
478	25581	27824
479	25638	27774
480	25681	27710
481	25716	27637
482	25766	27580
483	25797	27503
484	25838	27437
485	25882	27373
486	25924	27308
487	25965	27242
488	26007	27177
489	26048	27111
490	26091	27048
491	26132	26982
492	26174	26917
493	26214	26851
494	26255	26786
495	26299	26723
496	26342	26660
497	26385	26597
498	26426	26532
499	26468	26468
500	26509	26403
501	26550	26339
502	26594	26277
503	26637	26214
504	26680	26152
505	26724	26091
506	26768	26028
507	26808	25964
508	26849	25900
509	26891	25837
510	26933	25773
511	26974	25709
512	27016	25647
513	27060	25586
514	27103	25524
515	27151	25467
516	27191	25402
517	27231	25339
518	27275	25278
519	27318	25216
520	27364	25158
521	27409	25098
522	27450	25036
523	27494	24975
524	27536	24914
525	27575	24849
526	27618	24788
527	27661	24727
528	27704	24666
529	27746	24605
530	27789	24544
531	27825	24477
532	27869	24418
533	27918	24363
534	27952	24295
535	27986	24226
536	28026	24164
537	28067	24102
538	28114	24045
539	28155	23984
540	28195	23922
541	28238	23861
542	28282	23803
543	28322	23740
544	28362	23678
545	28404	23618
546	28448	23559
547	28491	23500
548	28532	23439
549	28577	23381
550	28621	23323
551	28661	23261
552	28710	23207
553	28751	23146
554	28792	23085
555	28834	23026
556	28876	22966
557	28916	22905
558	28961	22847
559	29004	22789
560	29053	22735
561	29096	22676
562	29137	22616
563	29177	22555
564	29216	22494
565	29259	22436
566	29301	22376
567	29347	22320
568	29390	22262
569	29430	22202
570	29471	22142
571	29517	22086
572	29556	22025
573	29602	21969
574	29645	21911
575	29688	21854
576	29732	21796
577	29778	21741
578	29819	21681
579	29868	21629
580	29911	21571
581	29963	21520
582	30002	21460
583	30044	21401
584	30087	21344
585	30138	21292
586	30167	21224
587	30205	21164
588	30245	21105
589	30283	21044
590	30323	20985
591	30361	20924
592	30400	20865
593	30440	20805
594	30479	20746
595	30518	20686
596	30564	20631
597	30600	20570
598	30639	20511
599	30683	20455
600	30722	20396
601	30762	20338
602	30802	20279
603	30841	20220
604	30881	20162
605	30921	20104
606	30962	20046
607	31000	19987
608	31040	19929
609	31082	19872
610	31124	19815
611	31164	19758
612	31203	19699
613	31241	19640
614	31280	19582
615	31319	19523
616	31359	19466
617	31397	19407
618	31437	19349
619	31477	19292
620	31517	19235
621	31559	19179
622	31598	19121
623	31637	19063
624	31678	19006
625	31716	18948
626	31756	18891
627	31795	18834
628	31836	18777
629	31878	18722
630	31918	18665
631	31958	18608
632	31998	18551
633	32035	18493
634	32077	18438
635	32118	18382
636	32158	18325
637	32201	18271
638	32249	18219
639	32302	18170
640	32334	18109
641	32378	18055
642	32422	18001
643	32465	17946
644	32528	17903
645	32588	17857
646	32651	17814
647	32693	17759
648	32739	17706
649	32785	17653
650	32834	17602
651	32881	17549
652	32927	17497
653	32973	17444
654	33024	17394
655	33078	17346
656	33131	17296
657	33181	17246
658	33223	17191
659	33262	17135
660	33303	17079
661	33341	17023
662	33381	16967
663	33420	16911
664	33458	16855
665	33499	16800
666	33541	16745
667	33582	16690
668	33621	16634
669	33661	16579
670	33700	16523
671	33741	16469
672	33781	16413
673	33822	16359
674	33862	16303
675	33900	16248
676	33940	16193
677	33980	16138
678	34019	16082
679	34061	16029
680	34102	15974
681	34143	15920
682	34184	15865
683	34223	15811
684	34262	15755
685	34302	15701
686	34340	15645
687	34374	15588
688	34427	15540
689	34471	15487
690	34511	15432
691	34551	15378
692	34592	15324
693	34634	15270
694	34675	15217
695	34717	15163
696	34759	15110
697	34801	15057
698	34839	15002
699	34883	14950
700	34927	14897
701	34969	14844
702	35010	14791
703	35051	14737
704	35092	14684
705	35134	14631
706	35176	14578
707	35218	14525
708	35259	14471
709	35299	14418
710	35340	14364
711	35378	14310
712	35420	14257
713	35463	14205
714	35504	14152
715	35548	14100
716	35590	14047
717	35631	13994
718	35671	13941
719	35714	13888
720	35754	13835
721	35793	13782
722	35834	13729
723	35876	13676
724	35919	13624
725	35961	13572
726	36003	13519
727	36048	13468
728	36089	13415
729	36132	13364
730	36174	13311
731	36213	13258
732	36273	13212
733	36336	13168
734	36381	13117
735	36435	13069
736	36479	13017
737	36530	12968
738	36581	12919
739	36622	12867
740	36665	12815
741	36700	12760
742	36739	12707
743	36777	12654
744	36817	12602
745	36862	12551
746	36913	12502
747	36956	12450
748	36998	12398
749	37042	12347
750	37086	12296
751	37127	12244
752	37168	12192
753	37211	12140
754	37251	12088
755	37294	12036
756	37337	11985
757	37376	11932
758	37418	11881
759	37456	11828
760	37498	11776
761	37541	11725
762	37584	11674
763	37625	11622
764	37667	11570
765	37710	11519
766	37750	11467
767	37794	11416
768	37834	11365
769	37874	11313
770	37916	11261
771	37959	11210
772	38000	11159
773	38042	11107
774	38086	11057
775	38128	11006
776	38168	10954
777	38210	10903
778	38252	10852
779	38295	10801
780	38335	10749
781	38373	10697
782	38412	10645
783	38453	10594
784	38494	10543
785	38538	10492
786	38579	10441
787	38621	10390
788	38665	10340
789	38715	10291
790	38762	10241
791	38807	10191
792	38848	10140
793	38883	10088
794	38923	10037
795	38964	9985
796	39004	9934
797	39047	9884
798	39085	9832
799	39126	9781
800	39166	9730
801	39205	9679
802	39245	9628
803	39288	9577
804	39328	9526
805	39368	9475
